xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
10,Y,재공급,강남구,백년빌,,,1,283,283.0,1순위,8,0.847916,0.885521,통과,통과,,,,,,,"서울특별시 강남구 개포로24길 13 (개포동 1216-7, 백년빌)"
11,Y,재공급,강남구,백년빌,,,1,226,226.0,1순위,8,0.846449,0.885628,통과,통과,1순위,5,0.558933,0.591298,통과,미달,"서울특별시 강남구 도곡로18길 10 (도곡동 547-11, 백년빌)"
12,Y,재공급,강남구,백년빌,,,1,167,167.0,1순위,3,0.360562,0.404849,미달,미달,1순위,3,0.361756,0.402312,미달,미달,"서울특별시 강남구 학동로20길 63-6 (논현동 158-26, 백년빌)"
13,Y,재공급,강남구,희준빌,31B,,1,276,276.0,1순위,9,0.897337,0.912757,통과,통과,1순위,8,0.847513,0.88516,통과,통과,"서울특별시 강남구 논현로121길 35 (논현동 173-5, 희준빌)"
14,Y,재공급,강동구,와이디하우스,38A,,3,115,38.3,1순위,2,0.197128,0.249895,미달,미달,2순위,6,0.342148,0.740114,통과,통과,"서울특별시 강동구 구천면로35길 27 (천호동 391-21,26, 와이디하우스)"
15,Y,재공급,강동구,은슬림7,26A,,1,34,34.0,1순위,3,0.368075,0.407204,미달,미달,2순위,6,0.311884,0.717806,통과,통과,"서울특별시 강동구 진황도로23길 20-1 (천호동 541-2,3, 은슬림7)"
16,Y,재공급,강동구,은슬림7,26B,,1,49,49.0,2순위,8,0.353935,0.773447,미달,미달,,,,,,,"서울특별시 강동구 진황도로23길 20-1 (천호동 541-2,3, 은슬림7)"
17,Y,재공급,강동구,은슬림8,30A,,1,37,37.0,1순위,6,0.663277,0.724904,통과,미달,1순위,3,0.359579,0.404191,미달,미달,"서울특별시 강동구 진황도로23길 22 (천호동 541외, 은슬림8 )"
18,Y,재공급,강동구,WISH희망,29B,,1,38,38.0,1순위,3,0.361042,0.401703,미달,미달,,,,,,,"서울특별시 강동구 천호대로168다길 6 (성내동 155-6, WISH희망)"
19,Y,재공급,강동구,Hwells PARK 천호1,27A,,2,63,31.5,1순위,5,0.55904,0.589357,통과,미달,2순위,6,0.37092,0.745511,통과,통과,"서울특별시 강동구 진황도로29길 35-3 (천호동 167-32, Hwells PARK 천호1)"
20,Y,재공급,강동구,현도빌리지5,29B,,2,41,20.5,2순위,6,0.47326,0.744336,미달,미달,2순위,3,0.191323,0.376459,미달,미달,"서울특별시 강동구 아리수로66길 14 (고덕동 532-1, 현도빌리지5)"
21,Y,재공급,강동구,현도빌리지5,43A,,1,43,43.0,2순위,8,0.379923,0.818308,미달,미달,2순위,6,0.279215,0.647104,통과,미달,"서울특별시 강동구 아리수로66길 14 (고덕동 532-1, 현도빌리지5)"
22,Y,재공급,강동구,허브빌,36A,,1,57,57.0,1순위,8,0.846813,0.885367,통과,통과,1순위,2,0.194223,0.24847,미달,미달,"서울특별시 강동구 올림픽로98가길 31-6 (암사동 493-15, 허브빌)"
23,Y,재공급,강동구,해담빌,29A,남성,1,27,27.0,2순위,8,0.475104,0.929043,미달,미달,2순위,8,0.477289,0.92985,통과,통과,"서울특별시 강동구 구천면로40길 7 (천호동 237-27, 해담빌)"
24,Y,재공급,강동구,강동서영스윗홈,35A,,2,136,68.0,2순위,8,0.313592,0.70163,미달,미달,,,,,,,"서울특별시 강동구 천중로48길 9-13 (길동 349-9, 강동서영스윗홈)"
25,Y,재공급,강동구,WISH희망,40A,,2,344,172.0,1순위,9,0.897627,0.91295,통과,통과,1순위,7,0.708973,0.74741,통과,통과,"서울특별시 강동구 천호옛8길 3 (성내동 127-13, WISH희망)"
26,Y,신규공급,강동구,와이디하우스2차,28B,,4,109,27.3,2순위,8,0.596603,0.930287,통과,미달,2순위,5,0.301975,0.580887,통과,미달,"서울특별시 강동구 구천면로35길 24-9 (천호동 299-13, 14, 와이디하우스2차)"
27,Y,신규공급,강동구,와이디하우스2차,36A,,8,534,66.8,1순위,5,0.55829,0.585789,통과,미달,2순위,8,0.339343,0.748953,통과,통과,"서울특별시 강동구 구천면로35길 24-9 (천호동 299-13, 14, 와이디하우스2차)"
28,Y,신규공급,강동구,와이디하우스2차,39A,,4,358,89.5,1순위,8,0.847964,0.886067,통과,통과,1순위,7,0.70423,0.747756,통과,통과,"서울특별시 강동구 구천면로35길 24-9 (천호동 299-13, 14, 와이디하우스2차)"
29,Y,신규공급,강동구,플래티넘7,29A,,38,4656,122.5,1순위,6,0.658695,0.721981,통과,미달,1순위,5,0.557634,0.590679,통과,미달,"서울특별시 강동구 진황도로27가길 21 (천호동 191-15, 플래티넘7)"
30,Y,신규공급,강동구,상일프라임,23A,,10,151,15.1,2순위,6,0.658458,0.741493,통과,미달,2순위,5,0.487118,0.586535,통과,미달,"서울특별시 강동구 상일로5길 10-5 (상일동 274-5, 상일프라임)"
31,Y,신규공급,강동구,상일프라임,29A,,9,168,18.7,2순위,8,0.776131,0.929408,통과,통과,2순위,5,0.412122,0.579172,통과,미달,"서울특별시 강동구 상일로5길 10-5 (상일동 274-5, 상일프라임)"
32,Y,재공급,강북구,홍원하이빌강북7,21B,,1,14,14.0,1순위,2,0.194754,0.243586,미달,미달,2순위,3,0.179725,0.377179,미달,미달,"서울특별시 강북구 삼양로119길 22 (수유동 313-6, 홍원하이빌강북7)"
